customer_id,first_name,last_name,date_of_birth,email,signup_date
CUST-20036,Karen,Smith,1961-08-15,karen.smith36@mail.com,2018-12-12
CUST-20037,Robert,Torres,1956-12-20,robert.torres37@mail.com,2023-11-13
CUST-20038,James,Torres,,james.torres38@mail.com,2019-04-03
CUST-20039,Andres,Garcia,2004-08-16,andres.garcia39@mail.com,2016-04-18
CUST-20040,Michael,Miller,1979-08-15,michael.miller40@mail.com,2021-07-07
CUST-20041,Jose,Ramirez,1991-07-04,jose.ramirez41@mail.com,2023-05-31
CUST-20042,Juan,Garcia,1977-10-31,juan.garcia42@mail.com,2017-07-31
CUST-20043,Linda,Torres,2005-02-17,linda.torres43@mail.com,2015-02-16
CUST-20044,Karen,Rodriguez,1962-11-07,karen.rodriguez44@mail.com,2016-11-25
CUST-20045,Luis,Ramirez,1994-09-15,luis.ramirez45@mail.com,2022-06-20
CUST-20046,Michael,Hernandez,2006-11-23,michael.hernandez46@mail.com,2017-03-31
CUST-20047,Carlos,Sanchez,1969-09-13,carlos.sanchez47@mail.com,2016-07-11
CUST-20048,David,Torres,1981-06-20,david.torres48@mail.com,2022-12-23
CUST-20049,Robert,Wilson,1965-03-05,robert.wilson49@mail.com,2017-05-26
CUST-20050,Laura,Sanchez,2006-02-20,laura.sanchez50@mail.com,2023-01-12
CUST-20051,Elena,Ramirez,1978-09-28,,2024-10-15
CUST-20052,Elena,Smith,1975-03-21,elena.smith52@mail.com,2023-11-17
CUST-20053,Andres,Garcia,2007-07-04,andres.garcia53@mail.com,2015-04-12
CUST-20054,Michael,Gonzalez,1962-08-22,michael.gonzalez54@mail.com,2016-04-17
CUST-20055,Jose,Martinez,2006-07-08,jose.martinez55@mail.com,2019-02-19
CUST-20056,Robert,Hernandez,1967-11-20,robert.hernandez56@mail.com,2023-01-04
CUST-20057,James,Torres,1997-12-25,james.torres57@mail.com,2018-01-20
CUST-20058,Karen,Moore,1996-09-09,karen.moore58@mail.com,2016-10-14
CUST-20059,Daniel,Gonzalez,1957-10-28,daniel.gonzalez59@mail.com,2019-05-09
CUST-20060,David,Ramirez,1990-09-09,david.ramirez60@mail.com,2015-01-28
CUST-20061,Daniel,Moore,2001-01-11,daniel.moore61@mail.com,2024-03-10
CUST-20062,Luis,Ramirez,1979-04-16,luis.ramirez62@mail.com,2023-02-05
CUST-20063,Linda,Hernandez,1971-09-27,linda.hernandez63@mail.com,2018-06-23
CUST-20064,Nancy,Perez,1973-06-30,nancy.perez64@mail.com,2018-11-28
CUST-20065,Juan,Johnson,1953-05-01,juan.johnson65@mail.com,2023-08-13
CUST-20066,Michael,Torres,1952-07-19,michael.torres66@mail.com,2019-10-23
CUST-20067,Maria,Brown,1997-10-30,maria.brown67@mail.com,2016-07-29
CUST-20068,Susan,Lopez,1996-05-04,susan.lopez68@mail.com,2022-08-08
CUST-20069,Jose,Torres,2001-12-10,jose.torres69@mail.com,2017-06-25
CUST-20070,Jose,Flores,2000-02-17,jose.flores70@mail.com,2022-03-01
CUST-20071,Sandra,Flores,1996-02-18,sandra.flores71@mail.com,2018-06-30
CUST-20072,Daniel,Reyes,1968-09-06,daniel.reyes72@mail.com,2021-02-09
CUST-20073,Juan,Wilson,2001-05-28,juan.wilson73@mail.com,2016-04-13
CUST-20074,Juan,Garcia,2004-04-19,juan.garcia74@mail.com,2015-06-30
CUST-20075,Juan,Sanchez,1998-10-21,juan.sanchez75@mail.com,2020-07-04
CUST-20076,Robert,Brown,1955-11-30,robert.brown76@mail.com,2023-12-23
CUST-20077,Daniel,Wilson,1972-02-05,daniel.wilson77@mail.com,2019-11-12
CUST-20078,Susan,Flores,1978-06-17,susan.flores78@mail.com,2015-05-01
CUST-20079,Michael,Lopez,,michael.lopez79@mail.com,2015-02-18
CUST-20080,Jennifer,Perez,1981-11-18,jennifer.perez80@mail.com,2020-08-08
CUST-20081,Andres,Martinez,1995-10-19,andres.martinez81@mail.com,2022-11-12
CUST-20082,Juan,Miller,1952-02-01,juan.miller82@mail.com,2020-12-08
CUST-20083,Elena,Brown,1998-04-14,elena.brown83@mail.com,2022-02-28
CUST-20084,Carlos,Flores,1969-05-24,carlos.flores84@mail.com,2024-08-10
CUST-20085,David,Gonzalez,2006-05-01,david.gonzalez85@mail.com,2018-07-17
CUST-20086,Elena,Perez,1967-06-20,elena.perez86@mail.com,2024-12-14
CUST-20087,Linda,Lopez,1971-06-22,linda.lopez87@mail.com,2019-05-08
CUST-20088,Linda,Miller,1987-10-29,linda.miller88@mail.com,2017-04-01
CUST-20089,Daniel,Garcia,1958-08-14,daniel.garcia89@mail.com,2024-03-16
CUST-20090,Karen,Martinez,1995-05-15,karen.martinez90@mail.com,2022-09-09
CUST-20091,Carlos,Johnson,1993-04-01,,2021-03-09
CUST-20092,Elena,Flores,2001-01-09,elena.flores92@mail.com,2016-04-15
CUST-20093,Carlos,Brown,1964-03-06,carlos.brown93@mail.com,2016-01-26
CUST-20094,Andres,Smith,1962-01-23,andres.smith94@mail.com,2023-07-30
CUST-20095,Linda,Perez,1985-01-25,linda.perez95@mail.com,2019-10-28
CUST-20096,Carlos,Reyes,,carlos.reyes96@mail.com,2024-06-20
CUST-20097,Carlos,Brown,1986-08-07,carlos.brown97@mail.com,2019-07-19
CUST-20098,Carlos,Reyes,1964-10-23,carlos.reyes98@mail.com,2018-08-18
CUST-20099,Robert,Sanchez,2001-02-09,robert.sanchez99@mail.com,2018-10-28
CUST-20100,Michael,Wilson,1960-06-07,michael.wilson100@mail.com,2024-02-19
CUST-20101,Daniel,Lopez,1979-08-07,daniel.lopez101@mail.com,2023-08-09
CUST-20102,Laura,Brown,1986-05-27,laura.brown102@mail.com,2023-12-10
CUST-20103,Luis,Rodriguez,1992-01-23,luis.rodriguez103@mail.com,2022-03-01
CUST-20104,Elena,Smith,1970-10-28,elena.smith104@mail.com,2018-05-09
CUST-20105,Luis,Hernandez,2009-03-11,luis.hernandez105@mail.com,2015-11-11
CUST-20106,Daniel,Flores,1994-08-23,daniel.flores106@mail.com,2023-07-18
CUST-20107,Daniel,Diaz,1952-01-18,daniel.diaz107@mail.com,2017-08-28
CUST-20108,Michael,Ramirez,1986-01-10,michael.ramirez108@mail.com,2022-04-08
CUST-20109,Daniel,Garcia,1958-10-31,daniel.garcia109@mail.com,2018-10-28
CUST-20110,Nancy,Moore,1995-07-24,nancy.moore110@mail.com,2024-06-28
CUST-20111,Linda,Ramirez,2007-11-02,linda.ramirez111@mail.com,2023-07-07
CUST-20112,Maria,Sanchez,1964-05-07,maria.sanchez112@mail.com,2024-08-05
CUST-20113,Susan,Moore,2004-10-30,susan.moore113@mail.com,2020-07-18
CUST-20114,Laura,Rodriguez,1997-04-04,laura.rodriguez114@mail.com,2020-12-12
CUST-20115,Jennifer,Torres,2008-10-09,jennifer.torres115@mail.com,2022-06-11
CUST-20116,Jennifer,Garcia,1951-04-05,jennifer.garcia116@mail.com,2022-02-05
CUST-20117,Sandra,Miller,1984-12-26,sandra.miller117@mail.com,2019-06-18
CUST-20118,Maria,Diaz,1978-08-22,maria.diaz118@mail.com,2019-10-26
CUST-20119,Susan,Wilson,,susan.wilson119@mail.com,2024-02-01
CUST-20120,Jose,Lopez,1971-12-31,jose.lopez120@mail.com,2021-12-31
CUST-20121,Laura,Ramirez,1960-08-01,laura.ramirez121@mail.com,2020-12-03
CUST-20122,David,Martinez,1982-08-05,david.martinez122@mail.com,2020-02-09
CUST-20123,Elena,Wilson,2007-05-20,elena.wilson123@mail.com,2023-09-22
CUST-20124,Juan,Lopez,1976-01-11,juan.lopez124@mail.com,2016-04-11
CUST-20125,Juan,Rodriguez,1995-07-08,juan.rodriguez125@mail.com,2018-01-17
CUST-20126,Elena,Diaz,2003-01-31,elena.diaz126@mail.com,2017-09-07
CUST-20127,Carlos,Gonzalez,1995-01-19,carlos.gonzalez127@mail.com,2024-11-08
CUST-20128,Maria,Smith,1950-11-07,maria.smith128@mail.com,2021-12-28
CUST-20129,Maria,Martinez,1969-12-19,maria.martinez129@mail.com,2015-12-21
CUST-20130,Sandra,Moore,1971-01-23,sandra.moore130@mail.com,2020-05-14
CUST-20131,Karen,Hernandez,1980-05-06,karen.hernandez131@mail.com,2024-05-27
CUST-20132,Robert,Martinez,1990-02-17,robert.martinez132@mail.com,2023-08-15
CUST-20133,Carlos,Ramirez,1988-01-27,carlos.ramirez133@mail.com,2016-09-09
CUST-20134,Karen,Lopez,2008-08-23,karen.lopez134@mail.com,2018-04-06
CUST-20135,Nancy,Brown,1988-05-14,nancy.brown135@mail.com,2020-03-07
CUST-20136,Luis,Johnson,1998-10-09,luis.johnson136@mail.com,2020-06-08
CUST-20137,Jose,Rodriguez,1950-11-01,jose.rodriguez137@mail.com,2022-06-04
CUST-20138,Elena,Johnson,1977-04-04,elena.johnson138@mail.com,2018-09-05
CUST-20139,Jennifer,Lopez,1969-08-17,jennifer.lopez139@mail.com,2019-02-09
CUST-20140,Linda,Perez,1989-07-25,linda.perez140@mail.com,2022-09-15
CUST-20141,Michael,Ramirez,1997-07-26,michael.ramirez141@mail.com,2018-07-24
CUST-20142,Patricia,Sanchez,1996-04-22,patricia.sanchez142@mail.com,2019-02-06
CUST-20143,James,Davis,1985-06-29,james.davis143@mail.com,2023-04-15
CUST-20144,Andres,Davis,1985-01-04,andres.davis144@mail.com,2021-04-24
CUST-20145,Sandra,Brown,1958-01-19,sandra.brown145@mail.com,2018-02-26
CUST-20146,James,Gonzalez,1996-04-05,james.gonzalez146@mail.com,2018-04-26
CUST-20147,James,Miller,1955-10-01,james.miller147@mail.com,2021-02-12
CUST-20148,Robert,Perez,1957-04-30,robert.perez148@mail.com,2018-07-09
CUST-20149,Robert,Garcia,2006-11-22,robert.garcia149@mail.com,2024-02-26
CUST-20150,Laura,Gonzalez,1969-10-11,laura.gonzalez150@mail.com,2018-10-17
CUST-20151,Jose,Sanchez,1981-06-10,jose.sanchez151@mail.com,2022-07-17
CUST-20152,David,Torres,1993-10-14,david.torres152@mail.com,2022-12-10
CUST-20153,Elena,Smith,1986-11-02,elena.smith153@mail.com,2018-12-01
CUST-20154,James,Sanchez,1958-01-03,james.sanchez154@mail.com,2022-03-07
CUST-20155,James,Flores,1982-06-25,james.flores155@mail.com,2019-09-23
CUST-20156,Laura,Lopez,1972-01-17,laura.lopez156@mail.com,2019-03-19
CUST-20157,Sandra,Perez,1968-05-02,sandra.perez157@mail.com,2018-01-27
CUST-20158,Maria,Torres,1977-09-03,maria.torres158@mail.com,2016-09-28
CUST-20159,Sandra,Smith,,sandra.smith159@mail.com,2023-12-23
CUST-20160,Maria,Perez,1959-10-02,maria.perez160@mail.com,2021-08-06
CUST-20161,Patricia,Reyes,1992-05-03,patricia.reyes161@mail.com,2017-01-27
CUST-20162,Michael,Sanchez,1965-06-23,michael.sanchez162@mail.com,2022-01-11
CUST-20163,Nancy,Moore,1993-01-06,nancy.moore163@mail.com,2019-07-08
CUST-20164,Luis,Moore,1958-04-17,luis.moore164@mail.com,2015-07-23
CUST-20165,Carlos,Lopez,1984-07-15,carlos.lopez165@mail.com,2023-09-07
CUST-20166,Michael,Smith,2008-12-28,michael.smith166@mail.com,2024-10-20
CUST-20167,Susan,Davis,1990-05-17,susan.davis167@mail.com,2021-10-18
CUST-20168,Sandra,Miller,1964-01-29,sandra.miller168@mail.com,2024-09-30
CUST-20169,Juan,Lopez,2007-02-23,juan.lopez169@mail.com,2020-10-14
CUST-20170,Nancy,Smith,1963-07-08,nancy.smith170@mail.com,2017-04-16
CUST-20171,David,Lopez,1957-05-24,david.lopez171@mail.com,2020-12-02
CUST-20172,Linda,Torres,1992-01-18,linda.torres172@mail.com,2021-02-03
CUST-20173,Juan,Rodriguez,1951-09-16,juan.rodriguez173@mail.com,2022-08-26
CUST-20174,Robert,Ramirez,,robert.ramirez174@mail.com,2020-07-17
CUST-20175,Sandra,Rodriguez,1978-05-11,sandra.rodriguez175@mail.com,2018-06-06
CUST-20176,Jose,Johnson,1982-04-09,jose.johnson176@mail.com,2022-06-27
CUST-20177,Daniel,Ramirez,1960-12-08,,2019-03-25
CUST-20178,Susan,Gonzalez,1976-04-30,susan.gonzalez178@mail.com,2015-02-12
CUST-20179,Carlos,Reyes,1963-08-26,carlos.reyes179@mail.com,2021-01-19
CUST-20180,Jennifer,Perez,1985-03-09,jennifer.perez180@mail.com,2017-02-11
CUST-20181,Carlos,Sanchez,1959-10-31,carlos.sanchez181@mail.com,2021-04-24
CUST-20182,Susan,Perez,1990-02-02,susan.perez182@mail.com,2016-07-30
CUST-20183,Elena,Martinez,1961-10-17,elena.martinez183@mail.com,2017-01-06
CUST-20184,Carlos,Sanchez,1953-04-10,carlos.sanchez184@mail.com,2016-01-05
CUST-20185,Linda,Gonzalez,1952-11-26,linda.gonzalez185@mail.com,2019-07-25
CUST-20186,Robert,Perez,1988-04-23,robert.perez186@mail.com,2017-04-21
CUST-20187,David,Sanchez,1993-04-23,david.sanchez187@mail.com,2015-03-05
CUST-20188,Daniel,Reyes,1978-07-03,daniel.reyes188@mail.com,2022-05-28
CUST-20189,Elena,Flores,1951-08-31,elena.flores189@mail.com,2018-06-10
CUST-20190,Jose,Martinez,1999-12-28,jose.martinez190@mail.com,2023-11-04
CUST-20191,Jennifer,Martinez,2004-11-08,jennifer.martinez191@mail.com,2021-01-16
CUST-20192,Jennifer,Moore,1970-12-26,jennifer.moore192@mail.com,2016-08-03
CUST-20193,Andres,Hernandez,1996-04-18,andres.hernandez193@mail.com,2017-03-18
CUST-20194,Andres,Garcia,2006-04-06,andres.garcia194@mail.com,2016-07-12
CUST-20195,Patricia,Torres,2001-09-20,patricia.torres195@mail.com,2016-01-11
CUST-20196,Karen,Wilson,1991-07-17,karen.wilson196@mail.com,2023-03-09
CUST-20197,David,Gonzalez,2001-01-28,david.gonzalez197@mail.com,2021-04-14
CUST-20198,Michael,Brown,1980-01-11,michael.brown198@mail.com,2024-03-31
CUST-20199,James,Rodriguez,1982-08-16,james.rodriguez199@mail.com,2024-04-25
CUST-20200,Sandra,Brown,2003-08-12,sandra.brown200@mail.com,2015-05-12
CUST-20201,Daniel,Brown,2009-01-24,daniel.brown201@mail.com,2024-07-02
CUST-20202,Daniel,Reyes,2003-02-07,daniel.reyes202@mail.com,2016-10-11
CUST-20203,Carlos,Miller,,carlos.miller203@mail.com,2016-04-29
CUST-20204,Andres,Sanchez,1965-08-01,andres.sanchez204@mail.com,2017-09-26
CUST-20205,Andres,Perez,1954-10-19,,2022-07-11
CUST-20206,David,Sanchez,1994-08-21,david.sanchez206@mail.com,2019-08-13
CUST-20207,Elena,Diaz,1986-07-06,elena.diaz207@mail.com,2020-03-13
CUST-20208,Laura,Miller,1960-07-12,laura.miller208@mail.com,2020-11-24
CUST-20209,Luis,Flores,1996-09-17,luis.flores209@mail.com,2018-08-06
CUST-20210,Maria,Rodriguez,2005-04-13,maria.rodriguez210@mail.com,2021-09-13
CUST-20211,Luis,Rodriguez,2003-03-29,luis.rodriguez211@mail.com,2024-06-20
CUST-20212,Jose,Gonzalez,1995-02-04,jose.gonzalez212@mail.com,2020-05-02
CUST-20213,Linda,Flores,1971-06-16,linda.flores213@mail.com,2017-08-24
CUST-20214,Robert,Davis,1998-12-31,robert.davis214@mail.com,2017-06-27
CUST-20215,Laura,Diaz,1961-01-02,laura.diaz215@mail.com,2023-11-20
CUST-20216,David,Martinez,1998-03-25,david.martinez216@mail.com,2018-04-27
CUST-20217,Patricia,Rodriguez,1952-02-23,patricia.rodriguez217@mail.com,2020-01-18
CUST-20218,Juan,Sanchez,1962-09-04,juan.sanchez218@mail.com,2015-07-07
CUST-20219,Jennifer,Garcia,1990-10-23,jennifer.garcia219@mail.com,2020-08-03
CUST-20220,David,Torres,1968-07-11,david.torres220@mail.com,2022-10-07
CUST-20221,Maria,Hernandez,1978-05-04,maria.hernandez221@mail.com,2020-04-19
CUST-20222,James,Brown,2007-01-02,james.brown222@mail.com,2017-04-07
CUST-20223,Nancy,Gonzalez,1967-03-08,nancy.gonzalez223@mail.com,2022-04-16
CUST-20224,Linda,Rodriguez,1978-01-29,linda.rodriguez224@mail.com,2019-09-18
CUST-20225,David,Perez,1989-12-08,david.perez225@mail.com,2024-08-29
CUST-20226,Jennifer,Martinez,1967-08-17,jennifer.martinez226@mail.com,2020-08-15
CUST-20227,Jennifer,Wilson,1983-06-03,jennifer.wilson227@mail.com,2016-04-19
CUST-20228,Andres,Flores,1970-07-18,andres.flores228@mail.com,2017-01-09
CUST-20229,Patricia,Wilson,1961-11-22,patricia.wilson229@mail.com,2015-11-09
CUST-20230,Jose,Flores,1956-08-15,jose.flores230@mail.com,2021-09-22
CUST-20231,Andres,Rodriguez,1998-03-14,andres.rodriguez231@mail.com,2015-12-24
CUST-20232,Sandra,Rodriguez,1967-01-02,sandra.rodriguez232@mail.com,2021-02-23
CUST-20233,James,Brown,1963-07-12,,2020-03-05
CUST-20234,Andres,Sanchez,1950-03-29,andres.sanchez234@mail.com,2017-01-06
CUST-20235,Robert,Moore,2007-11-12,robert.moore235@mail.com,2020-06-03
CUST-20236,Maria,Flores,1976-02-24,maria.flores236@mail.com,2022-09-03
CUST-20237,Juan,Moore,1965-08-09,juan.moore237@mail.com,2016-04-04
CUST-20238,Elena,Miller,1971-02-11,elena.miller238@mail.com,2017-11-15
CUST-20239,Patricia,Wilson,1993-11-18,patricia.wilson239@mail.com,2021-10-07
CUST-20240,Susan,Wilson,1953-03-03,susan.wilson240@mail.com,2015-08-04
CUST-20241,Andres,Ramirez,1966-02-25,andres.ramirez241@mail.com,2021-10-28
CUST-20242,Susan,Miller,1995-03-11,susan.miller242@mail.com,2023-12-15
CUST-20243,James,Johnson,1960-04-03,james.johnson243@mail.com,2021-02-03
CUST-20244,Andres,Gonzalez,2005-11-29,andres.gonzalez244@mail.com,2015-06-23
CUST-20245,Luis,Reyes,1997-02-21,luis.reyes245@mail.com,2020-08-03
CUST-20246,Robert,Flores,1965-05-24,robert.flores246@mail.com,2020-07-28
CUST-20247,Elena,Ramirez,1955-06-27,elena.ramirez247@mail.com,2022-11-01
CUST-20248,Carlos,Smith,1961-07-09,carlos.smith248@mail.com,2016-07-05
CUST-20249,David,Ramirez,1996-10-20,,2017-09-12
CUST-20250,Laura,Flores,1962-09-13,laura.flores250@mail.com,2020-04-16
CUST-20251,Laura,Johnson,1953-01-27,laura.johnson251@mail.com,2023-03-26
CUST-20252,Elena,Gonzalez,1976-07-12,elena.gonzalez252@mail.com,2017-09-16
CUST-20253,Laura,Ramirez,1957-09-19,laura.ramirez253@mail.com,2018-10-12
CUST-20254,Elena,Hernandez,1953-07-24,elena.hernandez254@mail.com,2015-08-28
CUST-20255,Luis,Diaz,2002-12-28,luis.diaz255@mail.com,2024-08-23
CUST-20256,Daniel,Hernandez,1984-03-11,daniel.hernandez256@mail.com,2019-09-11
CUST-20257,Karen,Gonzalez,1966-06-22,karen.gonzalez257@mail.com,2020-05-20
CUST-20258,Carlos,Sanchez,1969-03-29,carlos.sanchez258@mail.com,2020-04-19
CUST-20259,Jose,Torres,2006-03-22,jose.torres259@mail.com,2017-04-17
CUST-20260,Nancy,Sanchez,1987-08-10,nancy.sanchez260@mail.com,2019-01-26
CUST-20261,Michael,Reyes,1951-09-01,michael.reyes261@mail.com,2020-09-28
CUST-20262,Daniel,Diaz,2008-04-07,daniel.diaz262@mail.com,2019-01-19
CUST-20263,Maria,Lopez,1982-04-10,maria.lopez263@mail.com,2024-05-30
CUST-20264,Linda,Garcia,1978-11-24,linda.garcia264@mail.com,2024-08-01
CUST-20265,Daniel,Perez,1972-12-28,daniel.perez265@mail.com,2015-08-13
CUST-20266,Jennifer,Sanchez,2004-07-16,jennifer.sanchez266@mail.com,2016-09-09
CUST-20267,Juan,Reyes,,juan.reyes267@mail.com,2019-10-03
CUST-20268,Susan,Moore,1962-03-15,susan.moore268@mail.com,2018-07-09
CUST-20269,Jose,Sanchez,1963-03-17,jose.sanchez269@mail.com,2020-12-31
CUST-20270,Jose,Sanchez,1962-04-06,jose.sanchez270@mail.com,2017-07-14
CUST-20271,Linda,Rodriguez,1983-03-28,linda.rodriguez271@mail.com,2015-06-16
CUST-20272,James,Torres,,james.torres272@mail.com,2023-05-02
CUST-20273,Jennifer,Johnson,1969-05-25,jennifer.johnson273@mail.com,2016-05-15
CUST-20274,Karen,Gonzalez,2006-09-30,karen.gonzalez274@mail.com,2016-05-05
CUST-20275,Daniel,Torres,1955-05-24,daniel.torres275@mail.com,2018-03-11
CUST-20276,Susan,Wilson,1969-11-19,susan.wilson276@mail.com,2020-04-30
CUST-20277,Sandra,Davis,2009-09-05,sandra.davis277@mail.com,2023-05-01
CUST-20278,Luis,Miller,1963-07-13,luis.miller278@mail.com,2024-07-25
CUST-20279,Nancy,Rodriguez,1952-01-26,nancy.rodriguez279@mail.com,2015-09-15
CUST-20280,Daniel,Wilson,1954-11-25,daniel.wilson280@mail.com,2018-05-13
CUST-20281,Susan,Perez,1972-09-24,,2018-08-18
CUST-20282,Karen,Diaz,1976-09-03,karen.diaz282@mail.com,2017-01-31
CUST-20283,Susan,Sanchez,2005-03-13,susan.sanchez283@mail.com,2015-05-08
CUST-20284,Andres,Hernandez,1956-10-11,andres.hernandez284@mail.com,2019-08-11
CUST-20285,Elena,Miller,1955-09-16,elena.miller285@mail.com,2024-11-12
CUST-20286,Jose,Sanchez,,jose.sanchez286@mail.com,2020-09-07
CUST-20287,Michael,Rodriguez,1994-05-31,michael.rodriguez287@mail.com,2016-09-05
CUST-20288,Elena,Hernandez,1974-03-16,elena.hernandez288@mail.com,2017-08-18
CUST-20289,Juan,Garcia,1998-10-15,,2021-02-18
CUST-20290,Susan,Moore,1957-02-03,susan.moore290@mail.com,2024-04-27
CUST-20291,Luis,Wilson,1981-02-06,,2024-01-13
CUST-20292,Carlos,Sanchez,1964-01-13,carlos.sanchez292@mail.com,2016-10-15
CUST-20293,Luis,Reyes,1994-01-07,luis.reyes293@mail.com,2019-08-27
CUST-20294,Jennifer,Davis,2009-12-06,jennifer.davis294@mail.com,2017-10-18
CUST-20295,Karen,Perez,1965-12-13,karen.perez295@mail.com,2024-11-03
CUST-20296,Robert,Johnson,1959-03-04,robert.johnson296@mail.com,2024-07-09
CUST-20297,Jose,Flores,,jose.flores297@mail.com,2019-08-18
CUST-20298,Susan,Smith,1980-12-02,susan.smith298@mail.com,2023-12-07
CUST-20299,Daniel,Wilson,2006-12-13,daniel.wilson299@mail.com,2018-08-31
CUST-20300,Sandra,Perez,1968-05-18,sandra.perez300@mail.com,2021-05-13
CUST-20301,Laura,Lopez,2005-11-22,laura.lopez301@mail.com,2016-10-20
CUST-20302,David,Hernandez,1983-10-26,david.hernandez302@mail.com,2022-04-24
CUST-20303,Sandra,Garcia,1992-05-01,sandra.garcia303@mail.com,2016-07-01
CUST-20304,Michael,Wilson,1987-08-14,michael.wilson304@mail.com,2019-05-03
CUST-20305,David,Smith,1964-02-11,david.smith305@mail.com,2015-06-23
CUST-20306,Carlos,Rodriguez,1981-12-24,carlos.rodriguez306@mail.com,2016-05-07
CUST-20307,Daniel,Perez,1952-05-18,daniel.perez307@mail.com,2016-12-02
CUST-20308,Karen,Johnson,1977-09-27,karen.johnson308@mail.com,2022-04-14
CUST-20309,Jennifer,Gonzalez,1985-02-20,jennifer.gonzalez309@mail.com,2016-08-04
CUST-20310,Andres,Sanchez,1969-06-07,andres.sanchez310@mail.com,2016-08-24
CUST-20311,Jose,Brown,1959-08-12,jose.brown311@mail.com,2024-11-15
CUST-20312,Susan,Miller,1960-10-19,susan.miller312@mail.com,2018-01-11
CUST-20313,Andres,Diaz,1962-11-20,andres.diaz313@mail.com,2018-08-12
CUST-20314,Patricia,Johnson,1993-04-05,patricia.johnson314@mail.com,2021-04-08
CUST-20315,Maria,Lopez,,maria.lopez315@mail.com,2022-07-08
CUST-20316,Robert,Garcia,1966-05-17,robert.garcia316@mail.com,2023-11-06
CUST-20317,Carlos,Miller,,carlos.miller317@mail.com,2021-04-11
CUST-20318,Daniel,Moore,1955-03-04,daniel.moore318@mail.com,2024-04-10
CUST-20319,Elena,Wilson,1974-11-11,elena.wilson319@mail.com,2017-10-19
CUST-20320,Jose,Diaz,1954-03-20,,2016-11-22
CUST-20321,Nancy,Martinez,1956-09-12,,2021-03-26
CUST-20322,Jennifer,Johnson,1996-02-19,jennifer.johnson322@mail.com,2015-09-18
CUST-20323,Karen,Garcia,1997-04-21,karen.garcia323@mail.com,2023-04-01
CUST-20324,Susan,Sanchez,1977-08-17,susan.sanchez324@mail.com,2023-08-11
CUST-20325,Linda,Torres,1986-02-02,linda.torres325@mail.com,2021-12-29
CUST-20326,James,Garcia,2001-09-30,james.garcia326@mail.com,2023-02-14
